source,title,date of collecting,region,seller's name,latest modified date,price,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Tipe Properti,Sertifikat,Daya Listrik,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Material Bangunan,Material Lantai,Jumlah Lantai,Hadap,Konsep dan Gaya Rumah,Pemandangan,Terjangkau Internet,Lebar Jalan,Tahun Dibangun,Hook,Kondisi Properti,Tipe Iklan,ID Iklan,Carport,Garasi,Sumber Air,facilities,Perbelanjaan,Transportasi,Kesehatan,Kamar Pembantu,Kamar Mandi Pembantu,Tahun Di Renovasi,Wisata,Others,Sekolah,Ibadah
https://www.rumah123.com/properti/jakarta-utara/hos16265532/,Rumah di pik pantai indah kapuk 1 uk 8x20 semi furnished,2/4/2024 20:25,"Pantai Indah Kapuk, Jakarta Utara",Ines ,04 Februari 2024,"Rp 6,9 Miliar",4,2,160 m²,300 m²,Rumah,SHM - Sertifikat Hak Milik,,,Tidak,Tidak,Semi Furnished,,Granit,1,Selatan,,Perkotaan,Ya,,,Tidak,Baru,Dijual,hos16265532,,,,"Keamanan, Tempat Jemuran",,,,1,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos15471476/,"SUPER LANGKA & MURAHHH .. TURUN HARGA RUMAH MINIMALIS GARDEN HOUSE PIK , SDH RENOVASI BAGUS SIAP HUNI",2/4/2024 20:25,"Pantai Indah Kapuk, Jakarta Utara",Lina Huang,28 Januari 2024,"Rp 5,6 Miliar",3,3,136 m²,175 m²,Rumah,SHM - Sertifikat Hak Milik,,1,Tidak,Tidak,Semi Furnished,,,2,,,,Tidak,,2010,Tidak,Bagus,Dijual,hos15471476,,,,,,,,,1,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos6214361/,"PASTI TERJUAL ! RUMAH GOLF LAKE , SDH RENOVASI TAMBAH LANTAI , RAPI BAGUS SIAP HUNI",2/4/2024 20:26,"Kapuk, Jakarta Utara",Lina Huang,28 Januari 2024,"Rp 5,5 Miliar",5,4,144 m²,360 m²,Rumah,SHM - Sertifikat Hak Milik,,,Tidak,Tidak,Semi Furnished,,,4,,,,Tidak,,2008,Tidak,Sudah Renovasi,Dijual,hos6214361,,,,,,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos16191567/,"SUPER LANGKA .. TURUN HARGA BANYAK .. DIJUAL CEPAT RUMAH MEWAH PANTAI MUTIARA , PRIVATE DERMAGA , DESIGN MODERN RESORT , FULL MARMER ITALY , NEGO SAMPAI DEAL",2/4/2024 20:26,"Pantai Mutiara, Jakarta Utara",Lina Huang,02 Februari 2024,Rp 35 Miliar,4,7,425 m²,1000 m²,Rumah,SHM - Sertifikat Hak Milik,,2,Tidak,Tidak,,,,3,,,,Tidak,,,Tidak,Bagus,Dijual,hos16191567,,,,,,,,2,1,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos14717128/,"PLUIT UTARA RAYA, LT.450m2, 6kt + 2 ktp, cocok utk Usaha, Rumah Tinggal dll  bisa Sewa/ Jual",2/4/2024 20:27,"Pluit, Jakarta Utara",Mardiana Mardiana,28 Januari 2024,"Rp 22,5 Miliar",6,6,450 m²,500 m²,Rumah,SHM - Sertifikat Hak Milik,7700 Watt,2,Ya,Ya,Furnished,Bata Merah,Marmer,2,Utara,,Perkotaan,Ya,3 Mobil,2010,Tidak,Bagus,Dijual,hos14717128,3,1,PAM atau PDAM,"Ac, Tempat Jemuran,  Kitchen Set,  Kompor, Kulkas,  Pemanas Air, Wastafel",,,,2,1,2010,,,,
https://www.rumah123.com/properti/jakarta-utara/hos15758768/,"Muara karang Lt.90m2, Selatan, 2Lt, Harga 3,5Mil. Hub-i 081519822288",2/4/2024 20:27,"Pantai Indah Kapuk, Jakarta Utara",Mardiana Mardiana,02 Februari 2024,"Rp 3,5 Miliar",3,3,90 m²,150 m²,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1,Ya,Ya,Semi Furnished,Bata Merah,Keramik,2,Selatan,,Pemukiman Warga,Ya,2 Mobil,2010,Tidak,Bagus,Dijual,hos15758768,1,,PAM atau PDAM,"Ac, Keamanan, Tempat Jemuran, Keamanan 24 jam, One Gate System, Kitchen Set,  Kompor, Wastafel",,,,1,1,2019,,,,
https://www.rumah123.com/properti/jakarta-utara/hos15044169/,"Dijual Rumah Mewah di Kelapa Gading, Jakarta Utara",2/4/2024 20:28,"Kelapa Gading, Jakarta Utara",Suyanto ,21 Januari 2024,Rp 13 Miliar,7,16,270 m²,1000 m²,Rumah,SHM - Sertifikat Hak Milik,,1,Ya,Ya,Furnished,,,4,Utara,,,Ya,,,Tidak,Bagus,Dijual,hos15044169,,,PAM atau PDAM," Kolam Ikan, Kolam Renang,  Taman, Tempat Jemuran, Akses Parkir,  AC,  Kitchen Set,  Kompor, Kulkas,  Mesin Cuci,  Pemanas Air, Wastafel","Mall of Indonesia, Summarecon Mall Kelapa Gading",,"RS Mitra Keluarga Kelapa Gading, RS Gading Pluit",3,,,,"Balai Samudera, Taman Jogging Kelapa Gading",SMAS Don Bosco 1,
https://www.rumah123.com/properti/jakarta-utara/hos16050117/,Dijual Rumah Siap Huni di Koja Tanjung Priok Jakarta Utara ,2/4/2024 20:28,"Koja, Jakarta Utara",Dita  ,21 Januari 2024,"Rp 3,25 Miliar",3,3,200 m²,400 m²,Rumah,SHM - Sertifikat Hak Milik,,,Tidak,Tidak,Unfurnished,,,1,,,,Tidak,,2020,Tidak,Bagus,Dijual,hos16050117,,,,,,,"RS Mulyasari, RS Pelabuhan Jakarta, RS Sukmul",,,,Jakarta Islamic Center,JIC Convention Hall,"SMAN 13 Jakarta, SMKS Al Khairiyah 2",
https://www.rumah123.com/properti/jakarta-utara/hos15984371/,Kesempurnaan Rumah Mewah Pantai Mutiara American Style Strategis,2/4/2024 20:28,"Pantai Mutiara, Jakarta Utara",Dian Anggraeni,27 Januari 2024,Rp 18 Miliar,4,4,468 m²,380 m²,Rumah,SHM - Sertifikat Hak Milik,24000 Watt,2,Ya,Ya,Semi Furnished,Bata Merah,"Keramik, Ubin",2,Timur,American Classic,Perkotaan,Ya,2 Mobil,,Tidak,Bagus,Dijual,hos15984371,2,2,PAM atau PDAM,"Jalur Telepon,  Taman, Tempat Jemuran, Akses Parkir,  CCTV, Keamanan 24 jam,  One Gate System, Kitchen Set,  Kompor, Wastafel",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos16188670/,"Rumah 4 Lantai di Jl Enim,Deket Area Perkantoran,Jakut",2/4/2024 20:28,"Tanjung Priok, Jakarta Utara",muhammad muhardi,29 Januari 2024,"Rp 1,85 Miliar",3,2,50 m²,150 m²,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1,Ya,Ya,Semi Furnished,Bata Hebel,"Granit, Marmer",4,Timur,Modern Glass House,Perkotaan,Ya,2 Mobil,2023,Tidak,Baru,Dijual,hos16188670,1,2,PAM atau PDAM,"Jalur Telepon, Tempat Jemuran, Akses Parkir, CCTV,  One Gate System,  AC,  Kompor, Mesin Cuci,  Pemanas Air, Wastafel",,"Pelabuhan Tanjung Priok, Stasiun Tanjung Priok, Terminal Tanjung Priok","RS Royal Progress, RS Sulianti Suroso, RS Bersalin Kartika Sari, RSIA Hermina Podomoro, RS Puri Medika, RSUD Tanjung Priok, RS Satya Negara, RSPI Sulianti Saroso, RSIA Santo Yusuf",,,2023,,,,Masjid Ramlie Musofa
