source,title,date of collecting,region,seller's name,latest modified date,price,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Material Bangunan,Material Lantai,Jumlah Lantai,Hadap,Konsep dan Gaya Rumah,Pemandangan,Terjangkau Internet,Lebar Jalan,Tahun Dibangun,Sumber Air,Hook,Kondisi Properti,Tipe Iklan,ID Iklan,facilities,Kesehatan,Perbelanjaan,Sekolah,Transportasi,Wisata,Kamar Pembantu,Kamar Mandi Pembantu,Garasi,Others,Ibadah,Tahun Di Renovasi
https://www.rumah123.com/properti/jakarta-selatan/hos15848185/,Rumah 3 Lantai Unfurnished di Pondok Indah Jakarta Selatan,12/28/2023 21:12,"Pondok Indah, Jakarta Selatan",Mr akhmad ,24 Desember 2023,"Rp 3,46 Miliar",3,3,78 m²,145 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Unfurnished,"Batako, Beton, Bata Merah, Bata Hebel","Granit, Vinyl",3,Selatan,Minimalis Modern,Perkotaan,Ya,2 Mobil,2022,Sumur Bor,Tidak,Bagus,Dijual,hos15848185,,,,,,,,,,,,2022
https://www.rumah123.com/properti/jakarta-selatan/hos15073046/,TURUN HARGA Rumah di Kemang Jak-Sel 3 Lt SHM +swimming pool,12/28/2023 21:12,"Kemang, Jakarta Selatan",Piere Septiagara ,18 Desember 2023,"Rp 7,5 Miliar",3,3,200 m²,330 m²,2,Rumah,SHM - Sertifikat Hak Milik,11000 Watt,2,Ya,Ya,Furnished,Bata Hebel,Granit,3,Timur,Modern,Perkotaan,Ya,2 Mobil,2023,Sumur Bor,Ya,Bagus,Dijual,hos15073046,,,,,,,1,1,2,,,
https://www.rumah123.com/properti/jakarta-selatan/hos15806705/,"Prime area hunian elite dekat Senayan, lingkungan nyaman & Tenang",12/28/2023 21:12,"Kebayoran Baru, Jakarta Selatan",Amin Ahmad,17 Desember 2023,Rp 57 Miliar,5,3,667 m²,800 m²,2,Rumah,SHM - Sertifikat Hak Milik,10600 Watt,2,Ya,Ya,Semi Furnished,"Beton, Bata Merah","Granit, Keramik",2,,,Taman Kota,Ya,2 Mobil,,PAM atau PDAM,Tidak,Bagus,Dijual,hos15806705,,"RSIA Brawijaya, RS Pusat Pertamina, RSIA JWCC Asih, RS Gandaria","Blok M Square, SCBD","SMA 70 Jakarta, SMAS Islam Al-Azhar 1, UHAMKA","MRT Asean, MRT Blok A, MRT Blok M, MRT Lebak Bulus, MRT Senayan, MRT Setiabudi, Terminal Blok M, Stasiun Mrt Blok M, Stasiun Mrt Blok A, Stasiun Mrt Senayan",,2,1,2,"MABES POLRI, Pasar Santa","Masjid Agung Al-Azhar, GKI Kebayoran Baru",
https://www.rumah123.com/properti/jakarta-selatan/hos15077989/,Rumah Sultan Modern Mewah 3 Lantai Full Furnished Di Fatmawati,12/28/2023 21:12,"Fatmawati, Jakarta Selatan",Krisna fei,10 Desember 2023,Rp 85 Miliar,6,6,1650 m²,1500 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,Ya,Ya,Furnished,,,3,,Modern,,Ya,,,,Tidak,Bagus,Dijual,hos15077989,,,,,,,,,4,,,
https://www.rumah123.com/properti/jakarta-selatan/hos14206628/,Rumah dalam cluster di pondok Indah,12/28/2023 21:13,"Pondok Indah, Jakarta Selatan",Bimo Prasetyo ,10 Desember 2023,"Rp 8,1 Miliar",,,130 m²,300 m²,2,Rumah,SHM - Sertifikat Hak Milik,6600 Watt,,Tidak,Tidak,,,,1,Utara,American Classic,Perkotaan,Ya,3 Mobil,2022,Sumur Pompa,Tidak,Baru,Dijual,hos14206628,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10603464/,Rumah siap huni 2 lantai ..jalan lebar dekat taman dan pos keamana,12/28/2023 21:13,"Pondok Indah, Jakarta Selatan",Bimo Prasetyo ,10 Desember 2023,Rp 14 Miliar,4,3,298 m²,300 m²,1,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,Tidak,Tidak,Unfurnished,,,2,Selatan,,,Tidak,,2004,,Tidak,Bagus,Dijual,hos10603464,,,,,,,2,1,2,,,
https://www.rumah123.com/properti/jakarta-selatan/hos15744342/,Rumah di Admiralty Resindance Fatmawati turun Harga,12/28/2023 21:13,"Fatmawati, Jakarta Selatan",Ishariyana ,10 Desember 2023,"Rp 19,5 Miliar",5,5,600 m²,500 m²,2,Rumah,SHM - Sertifikat Hak Milik,6600 Watt,1,Ya,Ya,Semi Furnished,Bata Merah,Marmer,2,Selatan,Modern,Perkotaan,Ya,3 Mobil,2017,Sumur Bor,Tidak,Bagus,Dijual,hos15744342,,,,,,,1,1,2,,,
https://www.rumah123.com/properti/jakarta-selatan/hos15700848/,RUMAH BINTARO,12/28/2023 21:13,"Bintaro, Jakarta Selatan",Mia ,10 Desember 2023,"Rp 4,3 Miliar",4,3,144 m²,161 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,Tidak,Tidak,,,,,,,,Tidak,,,,Tidak,,Dijual,hos15700848,,,,,,,1,1,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos15660410/,Dijual Rumah Pondok Indah ,12/28/2023 21:13,"Pondok Indah, Jakarta Selatan",Ade ,03 Desember 2023,Rp 17 Miliar,3,3,282 m²,477 m²,2,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,2,Ya,Ya,Unfurnished,"Beton, Bata Merah",Keramik,2,Utara,Modern,Pemukiman Warga,Ya,2 Mobil,,PAM atau PDAM,Ya,Bagus,Dijual,hos15660410,,,,,,,1,1,2,,,
https://www.rumah123.com/properti/jakarta-selatan/hos6403632/,Rumah mewah terawat lantai marmer slabs Bintaro Sektor 9,12/28/2023 21:13,"Bintaro, Jakarta Selatan",Rully Husni,23 Desember 2023,Rp 11 Miliar,5,4,1317 m²,415 m²,2,Rumah,SHM - Sertifikat Hak Milik,10600 Watt,2,Ya,Ya,Semi Furnished,Bata Merah,"Keramik, Marmer",2,Utara,Minimalis Modern,Perkotaan,Ya,2 Mobil,2010,Sumur Bor,Tidak,Bagus,Dijual,hos6403632,,,,,,,1,1,2,,,
https://www.rumah123.com/properti/jakarta-selatan/hos15866065/,Rumah Swimming Pool Murah BU di Ragunan Pasar Minggu Jaksel,12/28/2023 21:13,"Ragunan, Jakarta Selatan",Erika agustina ,23 Desember 2023,Rp 13 Miliar,6,7,992 m²,600 m²,3,Rumah,SHM - Sertifikat Hak Milik,13200 Watt,2,Ya,Ya,Semi Furnished,Bata Merah,Granit,2,Selatan,Modern,Pemukiman Warga,Ya,2 Mobil,2012,Sumur Pompa,Tidak,Sudah Renovasi,Dijual,hos15866065,,,,,,,2,1,2,,,2014
https://www.rumah123.com/properti/jakarta-selatan/hos15865849/,"Rumah Tua Hitung Tanah di Tebet, Cocok Untuk Kantor atau Kos-kosan",12/28/2023 21:13,"Tebet, Jakarta Selatan",Yuli Permana ,23 Desember 2023,"Rp 8,4 Miliar",3,2,312 m²,94 m²,4,Rumah,SHM - Sertifikat Hak Milik,900 Watt,1,Ya,Ya,Unfurnished,Bata Merah,Keramik,1,Barat,Minimalis,Taman Kota,Ya,2 Mobil,1988,Sumur Pompa,Ya,Butuh Renovasi,Dijual,hos15865849,,RS Brawijaya Saharjo,KOKAS,,"Stasiun Cawang, Stasiun Manggarai, Stasiun Tebet",,,,,,"Gereja Simultan, Masjid Jami Al Atiq, Masjid Raya Al-Ittihaad",
https://www.rumah123.com/properti/jakarta-selatan/hos15863172/,Dijual Rumah Cluster 2 Lantai Daerah Pejaten Barat Rapih Siap Huni,12/28/2023 21:14,"Pasar Minggu, Jakarta Selatan",Javakita  ,23 Desember 2023,"Rp 5,7 Miliar",5,5,211 m²,275 m²,2,Rumah,SHM - Sertifikat Hak Milik,3300 Watt,,Ya,Ya,Furnished,,,2,,,,Ya,2 Mobil,,PAM atau PDAM,Tidak,Bagus,Dijual,hos15863172,,RSIA Kemang Medical Care,,"SMA 28 Jakarta, SMAS Gonzaga, UNAS","Stasiun Pasar Minggu, Stasiun Pasar Minggu Baru, Terminal Pasar Minggu, Terminal Ragunan","Hauwke’s Auto Gallery, Kebun Binatang Ragunan, Pusat Primata Schmutzer",,,1,,Pura Agung Wira Dharma Samudra,
https://www.rumah123.com/properti/jakarta-selatan/hos15862815/,Dijual Rumah Mewah 3 Lantai Daerah Pancoran Rapih,12/28/2023 21:14,"Pancoran, Jakarta Selatan",Javakita  ,23 Desember 2023,"Rp 3,95 Miliar",4,3,103 m²,207 m²,,Rumah,SHM - Sertifikat Hak Milik,3300 Watt,,Ya,Ya,Unfurnished,,,3,,,,Ya,2 Mobil,,PAM atau PDAM,Tidak,Bagus,Dijual,hos15862815,,"JMC, RS JMC",,Sampoerna Academy,"Pintu Tol Cawang, Stasiun Duren Kalibata, Stasiun Kalibata",,,,,"Imigrasi Mampang, SMESCO Convention Hall",Masjid Al Munawar Pancoran,
